id,title,genre,chorus,start
HAkHqYlqops,Matcbox Twenty - Push - Track 1,,,14
7Xf-Lesrkuc,rain - Drops of Jupiter - Track 2,,,32
TR3Vdo5etCQ,No Doubt - Dont Speak - Track 3,,,33
Jne9t8sHpUc,Alanis Morissette - Ironic - Track 4,,,35
YgSPaXgAdzE,Beck - Loser - Track 5,,,0
oKOtzIo-uYw,Fugees - Killing Me Softly With His Song - Track 6,,,0
SQCSxqScSVQ,Coolio - Gangsta's Paradise - Track 7,,,19
mzJj5-lubeM,Red Hot Chili Peppers - Scar Tissue - Track 8,,,4
bx1Bh8ZvH84,Oasis - Wonderwall - Track 9,,,28
8WEtxJ4-sh4,TLC - Waterfalls - Tack 10,,,15
WQnAxOQxQIU,Savage Garden - Truly Madly Deeply - Track 11,,,17
_CL6n0FJZpk,Dr. Dre - Still D.R.E. ft. Snoop Dogg - Track 12,,,21